client_id,num_rows,num_train_windows,num_val_windows,mean_acceleration,mean_abs_acceleration,acceleration_std,profile,profile_code
45,311,221,56,-0.0025853038942920416,0.7582306816718734,1.1905005842963021,Middle,-1
68,439,324,81,-0.002550607199880352,0.7257789602450245,1.1408447638647077,Middle,-1
7,366,265,67,-0.002487229679512687,0.8229025158057267,1.2739238442889993,Middle,-1
60,370,268,68,-0.002359863009140194,0.9292345066194732,1.3214229147387146,Middle,-1
163,364,264,66,-0.002240681101102369,0.7420713211752199,1.1651115738594902,Middle,-1
159,322,230,58,-0.002078653839040789,0.796898164019984,1.251212403630461,Middle,-1
31,290,204,52,-0.0020595270360755777,0.9126741181680439,1.4094412913701435,Middle,-1
129,387,282,71,-0.0019372803825062107,0.8057937195319685,1.300462412804596,Middle,-1
135,220,148,38,-0.0018463798132936607,0.7992002773811376,1.2702976144320652,Middle,-1
77,384,280,70,-0.0017607888360240895,0.777883938744039,1.211136914732524,Middle,-1
62,361,261,66,-0.0017062494883961217,0.7547762996332558,1.1490278236814244,Middle,-1
131,46,9,3,-0.0016972891733293006,0.8161680026307236,1.2597188123615057,Middle,-1
20,236,161,41,-0.0015439156393552225,0.7858142228766961,1.2311758909440362,Middle,-1
44,571,429,108,-0.0015315492349169454,0.6577676948339422,1.0429950653437279,Middle,-1
79,342,246,62,-0.0012331206595922728,0.8200931882517004,1.3220525275661994,Middle,-1
57,272,190,48,-0.001217488288581497,0.6440356903720886,1.0410261123955642,Middle,-1
64,367,266,67,-0.001122837155367111,0.6476568014865219,1.0262924959617483,Middle,-1
23,381,277,70,-0.0010216986362057232,0.63375575828122,0.9791583325195203,Middle,-1
95,372,270,68,-0.0009758599585057324,0.7857322466455506,1.2257486319810347,Middle,-1
117,264,184,46,-0.0007442667394345171,0.8180124675987923,1.266899721672522,Middle,-1
24,347,250,63,-0.0005992928452075777,0.6741685678561437,1.0363660357784594,Middle,-1
54,312,222,56,-0.0005569366272538878,0.7260683254245285,1.159191773392093,Middle,-1
152,445,328,83,-0.0005154478574751935,0.7468812526953033,1.180006274556834,Middle,-1
42,238,163,41,-0.00030731642765516673,0.626316556455614,1.0030326970790489,Middle,-1
96,287,202,51,-0.00024295072736483194,0.6804515059179822,1.1300261337694506,Middle,-1
16,353,255,64,-0.00018782356568513434,0.6226612585450587,0.9721825846712279,Middle,-1
80,144,88,22,-0.000130226953945315,0.8152039410441544,1.2798614533606418,Middle,-1
8,359,260,65,-8.736377631243758e-05,0.8736409438080325,1.3225594927374902,Middle,-1
40,529,396,99,3.357952437429585e-18,0.93212314733076,1.4472684667959888,Middle,-1
90,90,44,12,6.603272628502654e-06,0.7795105616395418,1.262918039418471,Middle,-1
164,305,216,55,0.0007361855152655502,0.9160330200029023,1.3359595004180678,Middle,-1
148,539,404,101,0.0012714973625497126,0.829412263385616,1.2926587666810585,Middle,-1
33,194,128,32,0.0033853117656351146,0.7347091022593758,1.0645921921992596,Middle,-1
28,597,450,113,0.0035054904438391993,0.7632028462078719,1.2413032280991694,Middle,-1
36,336,241,61,0.004339772362737077,0.9800778229212203,1.4295589716950525,Middle,-1
74,419,308,77,0.004446916136121836,0.6438548293028119,1.0567692581846102,Middle,-1
83,492,366,92,0.0048277909207554235,0.7851947731755343,1.3342922831252093,Middle,-1
150,608,459,115,0.005360613307398121,0.6294738191847616,1.0336695244280238,Middle,-1
13,188,123,31,0.005741444274177986,0.8512357802587162,1.3747356505196229,Middle,-1
91,404,296,74,0.006078691106413718,0.8335054588511485,1.282102331809029,Aggressive,1
139,200,132,34,0.006960672018275038,0.8198484094349692,1.267519342093866,Aggressive,1
134,201,133,34,0.008282419750301811,0.5835891895637554,0.8331383778794911,Aggressive,1
167,290,204,52,0.009304811900936967,0.7985777716263344,1.2379512275143567,Aggressive,1
